Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
2,3,16,0,0,2,0.125
3,2,16,0,0,2,0.125
5,2,16,0,0,8,0.5
6,2,32,0,0,3,0.09375
7,3,32,0,0,8,0.25
8,3,16,0,0,4,0.25
9,2,32,0,0,3,0.09375
10,3,16,0,0,2,0.125
12,3,16,0,0,2,0.125
16,3,16,0,0,8,0.5
20,2,16,0,0,4,0.25
22,3,32,0,0,2,0.0625
24,2,16,0,0,2,0.125
26,2,32,0,0,16,0.5
31,3,16,0,0,8,0.5
33,3,32,0,0,3,0.09375
36,2,32,0,0,2,0.0625
39,3,32,0,0,2,0.0625
42,2,16,0,0,4,0.25
43,3,16,0,0,1,0.0625
44,3,16,0,0,2,0.125
45,2,32,0,0,8,0.25
46,2,32,0,0,16,0.5
