Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,16,2,1,2,0.125
2,2,16,1,1,1,0.0625
3,2,16,4,1,4,0.25
4,3,32,2,1,2,0.0625
5,3,16,8,1,8,0.5
6,3,16,1,1,1,0.0625
7,3,16,4,1,4,0.25
8,2,16,8,1,8,0.5
9,3,32,16,1,16,0.5
10,2,16,4,1,4,0.25
11,2,32,2,1,2,0.0625
12,3,32,3,1,3,0.09375
13,2,32,16,1,16,0.5
14,3,32,8,1,8,0.25
16,3,32,3,1,3,0.09375
18,3,16,8,1,8,0.5
19,2,16,8,1,8,0.5
20,3,32,2,1,2,0.0625
21,2,16,2,1,2,0.125
23,3,32,3,1,3,0.09375
24,3,32,8,1,8,0.25
25,3,32,16,1,16,0.5
26,2,32,3,1,3,0.09375
27,2,32,16,1,16,0.5
28,2,32,8,1,8,0.25
30,3,32,8,1,8,0.25
31,3,32,3,1,3,0.09375
33,2,16,2,1,2,0.125
34,2,16,4,1,4,0.25
35,3,32,3,1,3,0.09375
36,2,16,8,1,8,0.5
37,3,32,3,1,3,0.09375
38,2,32,8,1,8,0.25
39,3,32,8,1,8,0.25
41,2,16,2,1,2,0.125
42,3,32,8,1,8,0.25
43,3,32,16,1,16,0.5
44,3,32,2,1,2,0.0625
45,2,32,3,1,3,0.09375
46,2,32,8,1,8,0.25
47,3,32,16,1,16,0.5
48,2,16,8,1,8,0.5
4,2,32,2,1,2,0.0625
6,3,32,8,1,8,0.25
9,3,16,8,1,8,0.5
10,2,16,1,1,1,0.0625
11,3,32,3,1,3,0.09375
15,2,16,8,1,8,0.5
17,3,16,4,1,4,0.25
18,3,16,2,1,2,0.125
21,3,16,4,1,4,0.25
22,3,16,1,1,1,0.0625
27,2,32,16,1,16,0.5
28,2,16,1,1,1,0.0625
30,3,32,3,1,3,0.09375
33,2,32,3,1,3,0.09375
36,2,16,2,1,2,0.125
37,3,32,16,1,16,0.5
40,2,32,2,1,2,0.0625
41,3,16,8,1,8,0.5
42,3,16,4,1,4,0.25
45,3,32,2,1,2,0.0625
48,3,16,4,1,4,0.25
