Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,32,16,1,16,0.5
3,3,32,16,1,16,0.5
5,3,32,8,1,8,0.25
7,3,32,3,1,3,0.09375
10,2,32,16,1,16,0.5
13,3,16,8,1,8,0.5
14,2,32,3,1,3,0.09375
15,3,32,16,1,16,0.5
16,2,16,8,1,8,0.5
17,3,16,2,1,2,0.125
19,3,16,4,1,4,0.25
20,2,32,2,1,2,0.0625
21,2,16,4,1,4,0.25
24,2,16,8,1,8,0.5
25,3,16,1,1,1,0.0625
26,3,32,8,1,8,0.25
27,3,16,4,1,4,0.25
31,2,16,4,1,4,0.25
32,3,16,4,1,4,0.25
33,3,32,16,1,16,0.5
34,3,16,8,1,8,0.5
35,2,32,16,1,16,0.5
37,2,32,8,1,8,0.25
39,2,32,8,1,8,0.25
42,3,16,8,1,8,0.5
43,3,32,8,1,8,0.25
46,2,32,16,1,16,0.5
47,3,32,3,1,3,0.09375
48,2,16,4,1,4,0.25
1,2,32,16,1,16,0.5
5,2,32,3,1,3,0.09375
7,2,32,2,1,2,0.0625
11,3,32,16,1,16,0.5
12,2,16,8,1,8,0.5
13,2,16,8,1,8,0.5
14,2,32,16,1,16,0.5
16,2,16,8,1,8,0.5
19,2,16,2,1,2,0.125
20,3,32,8,1,8,0.25
23,3,16,2,1,2,0.125
25,2,32,3,1,3,0.09375
26,3,16,2,1,2,0.125
27,2,16,2,1,2,0.125
29,2,32,2,1,2,0.0625
30,2,16,4,1,4,0.25
32,3,16,8,1,8,0.5
33,3,32,3,1,3,0.09375
35,3,16,8,1,8,0.5
38,3,32,8,1,8,0.25
43,2,16,1,1,1,0.0625
44,3,32,3,1,3,0.09375
45,3,16,2,1,2,0.125
47,2,16,1,1,1,0.0625
48,2,32,2,1,2,0.0625
