Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,3,32,0,0,8,0.25
2,2,32,0,0,3,0.09375
4,2,16,0,0,8,0.5
5,3,16,0,0,8,0.5
9,2,32,0,0,3,0.09375
12,3,16,0,0,1,0.0625
13,2,16,0,0,8,0.5
14,2,16,0,0,8,0.5
15,3,32,0,0,3,0.09375
16,2,32,0,0,2,0.0625
17,3,32,0,0,16,0.5
20,2,32,0,0,2,0.0625
21,2,32,0,0,16,0.5
22,3,32,0,0,3,0.09375
25,3,32,0,0,3,0.09375
26,2,32,0,0,2,0.0625
33,2,16,0,0,2,0.125
34,2,32,0,0,3,0.09375
35,2,16,0,0,1,0.0625
39,2,16,0,0,8,0.5
43,2,32,0,0,16,0.5
44,2,16,0,0,4,0.25
45,3,32,0,0,16,0.5
48,3,16,0,0,4,0.25
