Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,32,16,1,16,0.5
2,3,32,16,1,16,0.5
5,3,32,8,1,8,0.25
8,3,16,2,1,2,0.125
9,3,32,16,1,16,0.5
10,2,16,8,1,8,0.5
11,3,32,8,1,8,0.25
13,2,32,8,1,8,0.25
15,3,16,8,1,8,0.5
17,3,16,8,1,8,0.5
19,2,32,16,1,16,0.5
23,3,32,8,1,8,0.25
24,3,32,8,1,8,0.25
25,3,16,8,1,8,0.5
29,2,32,8,1,8,0.25
30,2,16,8,1,8,0.5
34,2,32,16,1,16,0.5
40,2,16,8,1,8,0.5
42,3,16,8,1,8,0.5
47,3,16,2,1,2,0.125
2,3,16,8,1,8,0.5
3,3,32,2,1,2,0.0625
4,2,32,8,1,8,0.25
5,3,16,8,1,8,0.5
7,3,16,4,1,4,0.25
8,2,32,3,1,3,0.09375
12,3,16,1,1,1,0.0625
14,2,16,2,1,2,0.125
15,3,32,3,1,3,0.09375
16,2,16,4,1,4,0.25
17,2,32,3,1,3,0.09375
19,3,16,8,1,8,0.5
22,3,32,3,1,3,0.09375
23,2,16,8,1,8,0.5
26,2,32,3,1,3,0.09375
27,3,16,4,1,4,0.25
28,2,16,2,1,2,0.125
29,2,16,4,1,4,0.25
31,2,32,2,1,2,0.0625
32,2,16,8,1,8,0.5
35,2,32,16,1,16,0.5
40,3,16,4,1,4,0.25
41,3,32,3,1,3,0.09375
43,2,32,16,1,16,0.5
44,3,16,2,1,2,0.125
47,2,16,4,1,4,0.25
48,3,32,3,1,3,0.09375
