Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
2,2,32,8,1,8,0.25
5,2,32,16,1,16,0.5
6,3,16,2,1,2,0.125
7,2,32,16,1,16,0.5
9,3,32,8,1,8,0.25
11,3,16,4,1,4,0.25
13,3,16,8,1,8,0.5
15,2,16,4,1,4,0.25
16,2,16,8,1,8,0.5
17,3,16,8,1,8,0.5
18,2,16,4,1,4,0.25
19,2,32,16,1,16,0.5
21,3,16,8,1,8,0.5
24,3,16,1,1,1,0.0625
25,3,16,1,1,1,0.0625
26,3,16,2,1,2,0.125
27,2,16,4,1,4,0.25
28,3,32,8,1,8,0.25
29,3,32,8,1,8,0.25
31,3,32,16,1,16,0.5
32,3,32,8,1,8,0.25
34,3,16,4,1,4,0.25
35,3,16,8,1,8,0.5
37,2,16,8,1,8,0.5
41,2,32,8,1,8,0.25
42,2,16,4,1,4,0.25
44,2,32,3,1,3,0.09375
46,3,32,16,1,16,0.5
47,2,32,16,1,16,0.5
2,2,16,4,1,4,0.25
4,2,32,8,1,8,0.25
5,2,16,2,1,2,0.125
7,3,16,2,1,2,0.125
9,3,16,4,1,4,0.25
13,2,32,3,1,3,0.09375
25,2,32,16,1,16,0.5
26,3,32,8,1,8,0.25
28,3,32,3,1,3,0.09375
34,3,16,4,1,4,0.25
38,2,16,2,1,2,0.125
40,3,16,1,1,1,0.0625
43,2,16,8,1,8,0.5
44,3,32,3,1,3,0.09375
45,3,32,3,1,3,0.09375
47,2,16,2,1,2,0.125
48,2,16,8,1,8,0.5
