Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
6,2,16,0,0,1,0.0625
11,2,32,0,0,3,0.09375
12,2,32,0,0,2,0.0625
13,3,32,0,0,2,0.0625
15,2,16,0,0,2,0.125
16,2,32,0,0,3,0.09375
19,2,16,0,0,1,0.0625
21,3,16,0,0,2,0.125
22,2,32,0,0,3,0.09375
24,3,32,0,0,3,0.09375
27,2,32,0,0,3,0.09375
28,3,32,0,0,2,0.0625
31,3,16,0,0,1,0.0625
32,3,32,0,0,3,0.09375
33,2,16,0,0,1,0.0625
35,2,16,0,0,2,0.125
36,2,32,0,0,2,0.0625
37,2,32,0,0,2,0.0625
38,3,32,0,0,2,0.0625
39,3,32,0,0,2,0.0625
40,3,16,0,0,1,0.0625
46,3,16,0,0,2,0.125
47,3,16,0,0,2,0.125
48,3,32,0,0,3,0.09375
1,3,16,0,0,2,0.125
3,2,32,0,0,2,0.0625
4,2,32,0,0,8,0.25
5,3,16,0,0,1,0.0625
7,2,16,0,0,1,0.0625
8,2,32,0,0,2,0.0625
10,2,32,0,0,8,0.25
11,3,32,0,0,3,0.09375
12,3,32,0,0,16,0.5
14,3,16,0,0,2,0.125
18,3,16,0,0,1,0.0625
20,3,16,0,0,1,0.0625
24,3,32,0,0,3,0.09375
25,2,16,0,0,2,0.125
29,3,16,0,0,2,0.125
31,2,32,0,0,3,0.09375
34,3,32,0,0,8,0.25
35,3,32,0,0,8,0.25
36,3,16,0,0,2,0.125
38,2,32,0,0,3,0.09375
40,3,32,0,0,16,0.5
41,2,16,0,0,2,0.125
42,2,32,0,0,16,0.5
43,3,32,0,0,8,0.25
47,2,32,0,0,16,0.5
