Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,3,32,16,1,16,0.5
3,2,16,8,1,8,0.5
5,3,32,16,1,16,0.5
6,2,32,8,1,8,0.25
7,3,32,16,1,16,0.5
10,3,32,3,1,3,0.09375
12,2,16,8,1,8,0.5
15,2,32,16,1,16,0.5
16,3,32,8,1,8,0.25
17,3,16,4,1,4,0.25
18,3,32,16,1,16,0.5
20,2,32,8,1,8,0.25
23,3,16,8,1,8,0.5
25,2,16,4,1,4,0.25
27,2,32,16,1,16,0.5
33,2,32,3,1,3,0.09375
36,2,16,4,1,4,0.25
37,3,16,4,1,4,0.25
38,3,16,4,1,4,0.25
39,2,16,4,1,4,0.25
41,2,32,8,1,8,0.25
42,3,32,8,1,8,0.25
43,2,32,16,1,16,0.5
45,3,16,4,1,4,0.25
46,2,32,16,1,16,0.5
48,3,16,8,1,8,0.5
1,2,32,16,1,16,0.5
3,2,16,2,1,2,0.125
5,3,16,8,1,8,0.5
6,2,32,8,1,8,0.25
7,2,32,16,1,16,0.5
8,2,16,2,1,2,0.125
9,3,16,2,1,2,0.125
13,2,32,3,1,3,0.09375
18,3,16,2,1,2,0.125
19,3,32,8,1,8,0.25
21,3,16,1,1,1,0.0625
22,2,16,2,1,2,0.125
25,3,32,16,1,16,0.5
26,2,32,16,1,16,0.5
27,3,32,3,1,3,0.09375
28,2,32,2,1,2,0.0625
30,3,16,8,1,8,0.5
33,3,32,2,1,2,0.0625
35,2,32,2,1,2,0.0625
36,3,16,4,1,4,0.25
37,2,16,8,1,8,0.5
40,2,16,8,1,8,0.5
41,2,16,2,1,2,0.125
42,3,16,8,1,8,0.5
47,3,16,4,1,4,0.25
