Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,16,4,1,4,0.25
2,3,16,8,1,8,0.5
3,2,32,16,1,16,0.5
4,3,32,16,1,16,0.5
6,2,32,8,1,8,0.25
10,3,32,3,1,3,0.09375
11,2,32,2,1,2,0.0625
12,2,32,8,1,8,0.25
13,3,32,2,1,2,0.0625
14,3,32,3,1,3,0.09375
15,3,32,16,1,16,0.5
16,2,32,16,1,16,0.5
17,2,16,2,1,2,0.125
18,2,32,3,1,3,0.09375
19,2,16,1,1,1,0.0625
20,2,16,8,1,8,0.5
21,3,16,8,1,8,0.5
22,3,16,1,1,1,0.0625
23,2,32,8,1,8,0.25
25,3,32,3,1,3,0.09375
27,2,16,8,1,8,0.5
28,3,32,8,1,8,0.25
29,3,32,16,1,16,0.5
30,3,16,2,1,2,0.125
31,3,16,4,1,4,0.25
32,2,16,4,1,4,0.25
33,3,32,8,1,8,0.25
34,3,32,2,1,2,0.0625
35,2,32,3,1,3,0.09375
36,3,32,8,1,8,0.25
37,3,32,2,1,2,0.0625
38,2,16,2,1,2,0.125
39,3,32,8,1,8,0.25
40,3,16,4,1,4,0.25
41,2,32,2,1,2,0.0625
42,2,32,2,1,2,0.0625
43,2,32,3,1,3,0.09375
44,3,32,2,1,2,0.0625
45,2,32,8,1,8,0.25
46,2,16,8,1,8,0.5
47,3,16,8,1,8,0.5
48,2,16,8,1,8,0.5
6,3,16,2,1,2,0.125
7,2,32,3,1,3,0.09375
8,3,16,8,1,8,0.5
10,2,32,16,1,16,0.5
12,2,16,4,1,4,0.25
13,3,16,8,1,8,0.5
14,3,16,1,1,1,0.0625
15,3,16,2,1,2,0.125
16,3,32,2,1,2,0.0625
21,3,16,2,1,2,0.125
22,2,16,4,1,4,0.25
24,3,32,3,1,3,0.09375
25,3,32,16,1,16,0.5
26,3,32,3,1,3,0.09375
29,2,32,3,1,3,0.09375
34,2,32,3,1,3,0.09375
35,2,32,8,1,8,0.25
36,3,32,8,1,8,0.25
37,3,32,16,1,16,0.5
39,3,32,16,1,16,0.5
40,2,32,3,1,3,0.09375
41,3,16,4,1,4,0.25
44,3,16,1,1,1,0.0625
45,3,32,16,1,16,0.5
46,2,32,2,1,2,0.0625
47,3,32,3,1,3,0.09375
