Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
2,3,16,0,0,1,0.0625
3,2,16,0,0,1,0.0625
4,2,32,0,0,2,0.0625
5,3,16,0,0,2,0.125
7,2,16,0,0,8,0.5
8,2,16,0,0,8,0.5
14,3,16,0,0,4,0.25
17,2,16,0,0,1,0.0625
18,3,32,0,0,3,0.09375
19,3,16,0,0,8,0.5
20,3,16,0,0,1,0.0625
24,2,32,0,0,3,0.09375
26,3,16,0,0,8,0.5
29,3,32,0,0,3,0.09375
30,3,16,0,0,1,0.0625
31,2,32,0,0,8,0.25
32,2,16,0,0,4,0.25
34,3,32,0,0,8,0.25
35,3,16,0,0,1,0.0625
36,3,32,0,0,8,0.25
39,2,16,0,0,2,0.125
42,3,16,0,0,8,0.5
44,3,32,0,0,2,0.0625
45,3,32,0,0,3,0.09375
47,2,16,0,0,4,0.25
48,3,16,0,0,4,0.25
