Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,3,16,8,1,8,0.5
4,3,16,4,1,4,0.25
6,2,16,4,1,4,0.25
8,3,32,8,1,8,0.25
12,2,16,8,1,8,0.5
13,2,32,16,1,16,0.5
16,3,32,16,1,16,0.5
17,2,16,4,1,4,0.25
19,3,32,16,1,16,0.5
21,3,32,16,1,16,0.5
24,3,32,16,1,16,0.5
25,3,32,8,1,8,0.25
26,2,16,4,1,4,0.25
29,2,16,8,1,8,0.5
30,3,32,8,1,8,0.25
33,2,32,16,1,16,0.5
35,2,32,8,1,8,0.25
37,3,32,8,1,8,0.25
38,2,16,8,1,8,0.5
40,3,32,16,1,16,0.5
43,2,32,8,1,8,0.25
45,2,16,8,1,8,0.5
47,2,32,8,1,8,0.25
48,3,16,4,1,4,0.25
2,2,16,1,1,1,0.0625
3,3,32,2,1,2,0.0625
4,2,32,2,1,2,0.0625
6,3,16,2,1,2,0.125
8,3,16,8,1,8,0.5
9,2,16,1,1,1,0.0625
10,3,32,16,1,16,0.5
14,2,32,16,1,16,0.5
16,2,32,8,1,8,0.25
17,2,16,8,1,8,0.5
19,3,32,3,1,3,0.09375
20,3,32,16,1,16,0.5
22,2,16,2,1,2,0.125
25,2,32,3,1,3,0.09375
26,2,16,4,1,4,0.25
28,2,16,4,1,4,0.25
29,3,32,8,1,8,0.25
30,3,32,2,1,2,0.0625
33,3,16,8,1,8,0.5
34,2,16,4,1,4,0.25
35,3,32,16,1,16,0.5
42,3,16,2,1,2,0.125
45,2,16,2,1,2,0.125
