Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
2,2,16,4,1,4,0.25
5,2,32,16,1,16,0.5
6,2,32,16,1,16,0.5
9,2,32,16,1,16,0.5
10,2,16,8,1,8,0.5
11,2,32,8,1,8,0.25
15,2,32,16,1,16,0.5
16,2,16,8,1,8,0.5
18,2,16,4,1,4,0.25
20,2,32,16,1,16,0.5
21,2,32,16,1,16,0.5
26,2,16,4,1,4,0.25
28,2,32,3,1,3,0.09375
29,2,16,8,1,8,0.5
32,2,32,3,1,3,0.09375
33,2,32,8,1,8,0.25
35,2,32,16,1,16,0.5
36,2,32,16,1,16,0.5
2,2,32,3,1,3,0.09375
4,2,32,3,1,3,0.09375
6,2,32,8,1,8,0.25
7,2,32,2,1,2,0.0625
8,2,32,8,1,8,0.25
12,2,32,8,1,8,0.25
15,2,32,2,1,2,0.0625
16,2,16,8,1,8,0.5
17,2,16,1,1,1,0.0625
21,2,32,16,1,16,0.5
23,2,32,16,1,16,0.5
25,2,16,1,1,1,0.0625
26,2,32,8,1,8,0.25
29,2,16,8,1,8,0.5
30,2,32,16,1,16,0.5
31,2,32,2,1,2,0.0625
32,2,32,16,1,16,0.5
34,2,16,2,1,2,0.125
