Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,16,4,1,4,0.25
3,2,32,2,1,2,0.0625
6,2,32,8,1,8,0.25
10,2,32,8,1,8,0.25
12,2,32,3,1,3,0.09375
15,2,32,3,1,3,0.09375
18,2,32,8,1,8,0.25
20,2,16,1,1,1,0.0625
23,2,32,8,1,8,0.25
24,2,32,2,1,2,0.0625
25,2,16,4,1,4,0.25
26,2,32,2,1,2,0.0625
28,2,16,4,1,4,0.25
30,2,32,2,1,2,0.0625
31,2,16,1,1,1,0.0625
33,2,16,2,1,2,0.125
34,2,16,2,1,2,0.125
35,2,16,4,1,4,0.25
2,2,16,8,1,8,0.5
3,2,16,2,1,2,0.125
4,2,32,16,1,16,0.5
7,2,16,4,1,4,0.25
9,2,32,8,1,8,0.25
10,2,32,3,1,3,0.09375
11,2,16,8,1,8,0.5
13,2,16,1,1,1,0.0625
15,2,16,8,1,8,0.5
17,2,16,4,1,4,0.25
18,2,32,3,1,3,0.09375
20,2,32,8,1,8,0.25
26,2,16,2,1,2,0.125
30,2,16,2,1,2,0.125
32,2,32,2,1,2,0.0625
34,2,32,16,1,16,0.5
35,2,16,8,1,8,0.5
36,2,16,8,1,8,0.5
