Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,16,2,1,2,0.125
2,2,16,1,1,1,0.0625
4,2,32,8,1,8,0.25
8,2,32,2,1,2,0.0625
12,2,16,2,1,2,0.125
14,2,32,3,1,3,0.09375
15,2,16,1,1,1,0.0625
18,2,16,1,1,1,0.0625
19,2,16,4,1,4,0.25
23,2,16,1,1,1,0.0625
25,2,16,2,1,2,0.125
27,2,16,1,1,1,0.0625
28,2,32,2,1,2,0.0625
31,2,16,1,1,1,0.0625
33,2,32,3,1,3,0.09375
34,2,32,2,1,2,0.0625
3,2,32,2,1,2,0.0625
4,2,32,8,1,8,0.25
6,2,16,2,1,2,0.125
8,2,16,8,1,8,0.5
11,2,16,8,1,8,0.5
13,2,32,8,1,8,0.25
15,2,32,8,1,8,0.25
21,2,16,2,1,2,0.125
22,2,16,1,1,1,0.0625
23,2,32,8,1,8,0.25
24,2,16,2,1,2,0.125
27,2,32,2,1,2,0.0625
31,2,16,4,1,4,0.25
32,2,16,1,1,1,0.0625
33,2,32,8,1,8,0.25
34,2,16,4,1,4,0.25
35,2,16,2,1,2,0.125
36,2,32,16,1,16,0.5
