Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
5,2,32,8,1,8,0.25
6,2,32,16,1,16,0.5
8,2,32,8,1,8,0.25
9,2,16,2,1,2,0.125
11,2,16,8,1,8,0.5
12,2,16,8,1,8,0.5
13,2,16,8,1,8,0.5
14,2,32,8,1,8,0.25
15,2,16,4,1,4,0.25
18,2,32,3,1,3,0.09375
22,2,32,16,1,16,0.5
23,2,32,16,1,16,0.5
24,2,32,16,1,16,0.5
25,2,16,2,1,2,0.125
30,2,32,16,1,16,0.5
32,2,32,3,1,3,0.09375
35,2,16,8,1,8,0.5
36,2,32,8,1,8,0.25
1,2,32,2,1,2,0.0625
2,2,32,8,1,8,0.25
3,2,32,3,1,3,0.09375
5,2,16,1,1,1,0.0625
6,2,32,8,1,8,0.25
7,2,16,4,1,4,0.25
8,2,16,2,1,2,0.125
10,2,32,8,1,8,0.25
11,2,32,8,1,8,0.25
12,2,32,16,1,16,0.5
17,2,32,8,1,8,0.25
20,2,32,16,1,16,0.5
24,2,32,3,1,3,0.09375
25,2,16,1,1,1,0.0625
30,2,16,8,1,8,0.5
32,2,16,2,1,2,0.125
33,2,32,3,1,3,0.09375
34,2,16,1,1,1,0.0625
