Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
6,19,1,0,0.315789473684211,0.0526315789473684
8,21,4,0,0.333333333333333,0.19047619047619
11,15,1,0,0.333333333333333,0.0666666666666667
12,15,1,0,0.6,0.0666666666666667
13,25,11,0,0.6,0.44
18,21,7,0,0.571428571428571,0.333333333333333
19,21,9,0,0.571428571428571,0.428571428571429
20,15,1,0,0.6,0.0666666666666667
23,23,1,0,0.434782608695652,0.0434782608695652
27,15,3,0,0.466666666666667,0.2
28,25,2,0,0.2,0.08
29,21,4,0,0.571428571428571,0.19047619047619
