Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
4,32,3,0,0.5,0.09375
8,32,2,0,0.25,0.0625
12,16,1,0,0.125,0.0625
26,32,2,0,0.5,0.0625
27,16,2,0,0.25,0.125
29,16,1,0,0.25,0.0625
33,16,4,0,0.5,0.25
35,32,2,0,0.5,0.0625
6,32,2,0,0.5,0.0625
9,32,3,0,0.5,0.09375
10,16,1,0,0.25,0.0625
12,32,2,0,0.09375,0.0625
13,32,2,0,0.5,0.0625
16,32,3,0,0.25,0.09375
18,32,8,1,0.25,0.0625
20,32,3,0,0.25,0.09375
23,16,2,0,0.5,0.125
31,16,4,0,0.5,0.25
32,32,8,0,0.5,0.25
34,16,1,0,0.125,0.0625
35,32,3,0,0.5,0.09375
