Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
5,16,1,0,0.125,0.0625
6,16,1,0,0.125,0.0625
8,16,1,0,0.25,0.0625
10,32,3,1,0.09375,0.0625
19,32,16,1,0.5,0.0625
25,16,4,1,0.25,0.125
28,16,4,1,0.25,0.0625
33,32,16,1,0.5,0.25
3,32,16,1,0.5,0.09375
6,16,4,1,0.25,0.0625
8,32,3,1,0.09375,0.0625
10,32,3,1,0.09375,0.0625
12,32,8,1,0.25,0.09375
14,32,3,0,0.5,0.09375
15,16,2,1,0.125,0.0625
16,16,8,1,0.5,0.25
17,16,8,1,0.5,0.0625
19,16,8,1,0.5,0.0625
30,32,16,1,0.5,0.25
31,16,8,1,0.5,0.125
36,32,2,0,0.09375,0.0625
