Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
2,2,32,8,1,8,0.25
3,2,32,2,1,2,0.0625
4,2,16,4,1,4,0.25
5,2,32,3,1,3,0.09375
7,2,32,3,1,3,0.09375
9,2,16,4,1,4,0.25
10,2,16,1,1,1,0.0625
11,2,32,3,1,3,0.09375
14,2,16,1,1,1,0.0625
17,2,16,8,1,8,0.5
21,2,32,3,1,3,0.09375
22,2,16,2,1,2,0.125
24,2,16,4,1,4,0.25
26,2,16,4,1,4,0.25
32,2,16,4,1,4,0.25
34,2,32,8,1,8,0.25
2,2,32,2,1,2,0.0625
4,2,16,1,1,1,0.0625
5,2,16,1,1,1,0.0625
6,2,32,2,1,2,0.0625
7,2,16,2,1,2,0.125
11,2,32,16,1,16,0.5
13,2,32,16,1,16,0.5
16,2,16,2,1,2,0.125
17,2,32,2,1,2,0.0625
18,2,16,4,1,4,0.25
19,2,16,2,1,2,0.125
20,2,16,8,1,8,0.5
24,2,32,2,1,2,0.0625
26,2,32,3,1,3,0.09375
27,2,32,16,1,16,0.5
34,2,16,2,1,2,0.125
35,2,32,8,1,8,0.25
36,2,16,4,1,4,0.25
