Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,32,8,0,0.5,0.25
3,32,2,0,0.09375,0.0625
4,16,1,0,0.5,0.0625
10,32,8,0,0.5,0.25
11,16,2,0,0.5,0.125
12,32,2,0,0.09375,0.0625
18,32,3,0,0.5,0.09375
25,32,2,0,0.25,0.0625
26,32,2,0,0.09375,0.0625
29,32,2,0,0.25,0.0625
36,16,4,0,0.5,0.25
7,32,3,0,0.5,0.09375
10,16,2,0,0.25,0.125
12,32,2,0,0.5,0.0625
15,16,1,0,0.125,0.0625
24,32,8,0,0.5,0.25
27,16,1,0,0.5,0.0625
30,16,1,0,0.5,0.0625
32,16,1,0,0.125,0.0625
33,32,2,0,0.25,0.0625
34,16,2,0,0.25,0.125
