Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
3,2,16,1,1,1,0.0625
5,2,16,4,1,4,0.25
6,2,32,3,1,3,0.09375
7,2,32,16,1,16,0.5
20,2,32,2,1,2,0.0625
21,2,16,1,1,1,0.0625
22,2,32,3,1,3,0.09375
23,2,32,3,1,3,0.09375
24,2,32,2,1,2,0.0625
25,2,32,3,1,3,0.09375
27,2,16,4,1,4,0.25
28,2,32,2,1,2,0.0625
29,2,32,8,1,8,0.25
33,2,16,4,1,4,0.25
35,2,16,1,1,1,0.0625
36,2,16,1,1,1,0.0625
2,2,16,2,1,2,0.125
3,2,16,4,1,4,0.25
5,2,16,1,1,1,0.0625
6,2,16,2,1,2,0.125
7,2,16,8,1,8,0.5
8,2,32,2,1,2,0.0625
15,2,32,2,1,2,0.0625
17,2,32,8,1,8,0.25
19,2,16,2,1,2,0.125
23,2,32,16,1,16,0.5
24,2,32,8,1,8,0.25
25,2,16,1,1,1,0.0625
26,2,32,8,1,8,0.25
27,2,32,2,1,2,0.0625
30,2,32,3,1,3,0.09375
32,2,32,16,1,16,0.5
34,2,32,3,1,3,0.09375
36,2,16,2,1,2,0.125
