Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
2,2,16,4,1,4,0.25
5,2,32,16,1,16,0.5
6,2,32,16,1,16,0.5
8,2,16,4,1,4,0.25
10,2,32,3,1,3,0.09375
12,2,32,16,1,16,0.5
17,2,32,3,1,3,0.09375
18,2,32,16,1,16,0.5
21,2,32,8,1,8,0.25
22,2,16,4,1,4,0.25
23,2,16,8,1,8,0.5
25,2,32,16,1,16,0.5
26,2,32,8,1,8,0.25
29,2,32,8,1,8,0.25
30,2,16,2,1,2,0.125
31,2,16,8,1,8,0.5
35,2,32,16,1,16,0.5
1,2,16,1,1,1,0.0625
2,2,32,8,1,8,0.25
3,2,16,2,1,2,0.125
4,2,32,8,1,8,0.25
6,2,32,8,1,8,0.25
7,2,32,8,1,8,0.25
8,2,32,16,1,16,0.5
11,2,16,8,1,8,0.5
13,2,16,2,1,2,0.125
14,2,16,4,1,4,0.25
17,2,32,2,1,2,0.0625
18,2,16,4,1,4,0.25
21,2,32,3,1,3,0.09375
24,2,16,8,1,8,0.5
31,2,32,16,1,16,0.5
32,2,16,4,1,4,0.25
33,2,16,2,1,2,0.125
35,2,16,2,1,2,0.125
