Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
10,32,3,0,0.25,0.09375
15,16,1,0,0.5,0.0625
23,32,3,0,0.5,0.09375
25,16,1,0,0.125,0.0625
28,16,1,0,0.25,0.0625
30,32,8,1,0.25,0.09375
31,32,2,0,0.25,0.0625
33,16,1,0,0.25,0.0625
34,16,2,0,0.5,0.125
35,16,8,1,0.5,0.25
36,16,2,0,0.25,0.125
5,32,2,0,0.25,0.0625
10,32,2,0,0.5,0.0625
11,16,1,0,0.125,0.0625
15,32,2,0,0.09375,0.0625
20,16,4,1,0.25,0.125
24,16,1,0,0.25,0.0625
25,16,4,0,0.5,0.25
31,16,4,0,0.5,0.25
32,32,8,0,0.5,0.25
33,16,1,0,0.125,0.0625
35,32,2,0,0.5,0.0625
