Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
2,2,16,2,1,2,0.125
3,2,32,2,1,2,0.0625
4,2,16,2,1,2,0.125
6,2,32,2,1,2,0.0625
7,2,16,1,1,1,0.0625
13,2,16,2,1,2,0.125
16,2,16,2,1,2,0.125
17,2,16,4,1,4,0.25
19,2,16,1,1,1,0.0625
21,2,32,8,1,8,0.25
22,2,16,2,1,2,0.125
24,2,16,1,1,1,0.0625
25,2,32,8,1,8,0.25
29,2,16,1,1,1,0.0625
32,2,32,2,1,2,0.0625
35,2,32,2,1,2,0.0625
1,2,32,8,1,8,0.25
2,2,16,8,1,8,0.5
5,2,32,3,1,3,0.09375
6,2,32,16,1,16,0.5
7,2,32,16,1,16,0.5
8,2,32,2,1,2,0.0625
12,2,32,2,1,2,0.0625
14,2,16,1,1,1,0.0625
15,2,16,8,1,8,0.5
16,2,16,8,1,8,0.5
19,2,16,4,1,4,0.25
21,2,16,2,1,2,0.125
22,2,16,2,1,2,0.125
24,2,32,8,1,8,0.25
25,2,16,2,1,2,0.125
31,2,16,2,1,2,0.125
32,2,16,1,1,1,0.0625
33,2,16,4,1,4,0.25
