Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
5,32,2,0,0.25,0.0625
19,32,2,0,0.09375,0.0625
23,32,3,0,0.25,0.09375
25,16,1,0,0.125,0.0625
29,32,16,1,0.5,0.25
31,32,8,1,0.25,0.0625
33,16,8,1,0.5,0.25
