Trial,Block,Endowment,Earned,Choice,Offer,Prop_Endowment
1,2,16,8,1,8,0.5
5,2,16,2,1,2,0.125
6,2,16,2,1,2,0.125
8,2,16,4,1,4,0.25
10,2,32,2,1,2,0.0625
11,2,32,2,1,2,0.0625
12,2,16,2,1,2,0.125
13,2,32,2,1,2,0.0625
19,2,32,16,1,16,0.5
20,2,16,1,1,1,0.0625
24,2,32,2,1,2,0.0625
28,2,16,1,1,1,0.0625
30,2,16,4,1,4,0.25
32,2,16,2,1,2,0.125
33,2,32,8,1,8,0.25
34,2,32,8,1,8,0.25
35,2,32,3,1,3,0.09375
3,2,32,16,1,16,0.5
5,2,16,2,1,2,0.125
6,2,16,4,1,4,0.25
7,2,32,2,1,2,0.0625
10,2,32,3,1,3,0.09375
12,2,32,8,1,8,0.25
14,2,32,3,1,3,0.09375
15,2,16,2,1,2,0.125
16,2,16,8,1,8,0.5
17,2,16,8,1,8,0.5
18,2,16,4,1,4,0.25
19,2,16,8,1,8,0.5
26,2,16,2,1,2,0.125
29,2,16,1,1,1,0.0625
30,2,32,16,1,16,0.5
31,2,16,8,1,8,0.5
36,2,32,2,1,2,0.0625
